userName,roomName,category,audience,roomUrl
烧钱棍,只用100美金创造奇迹,finance,2,https://www.panda.tv/875461
汇安慧富,汇安慧富的直播间,finance,0,https://www.panda.tv/844286
东方量子,东方量子的直播间,finance,24,https://www.panda.tv/915348
,不吹牛逼的EA账户24小时直播间,finance,24,https://www.panda.tv/687193
林东陈,大叔，聊聊赌石聊聊天,finance,12,https://www.panda.tv/770135
霹雳杠上花,霹雳杠上花的直播间,finance,9,https://www.panda.tv/775715
启蓝投资_尹顾问,启蓝投资_尹顾问的直播间,finance,6,https://www.panda.tv/747723
疯子叫庆庆,人工智能交易+外汇-直播间,finance,4,https://www.panda.tv/784905
有猫病的水番,有猫病的水番的直播间,finance,3,https://www.panda.tv/639336
汇溢如泉,汇溢如泉的直播间,finance,3,https://www.panda.tv/1019812
金融圣手MR丶刘,现货白银短线狙击,finance,3,https://www.panda.tv/743006
罗泗公子,罗泗公子的直播间,finance,3,https://www.panda.tv/645881
金牌大赢家,金牌大赢家的直播间,finance,3,https://www.panda.tv/1066175
聊天谈股,追过的女孩的直播间,finance,2,https://www.panda.tv/593515
脚脚轰油门,正在获取房间名称...以小做大,finance,2,https://www.panda.tv/671416
Junkie隽,中级经济师题库的直播间,finance,2,https://www.panda.tv/1502201
聊聊天说说股,把握趋势，精准买卖，赢在执行,finance,1,https://www.panda.tv/634213
金融界的吃货美眉,金融界的吃货美眉的直播间,finance,1,https://www.panda.tv/1189892
哈佛校友失心疯,哈佛校友失心疯的直播间,finance,1,https://www.panda.tv/682245
酱折明,只给草莓看的直播间,finance,0,https://www.panda.tv/827757
婉靓分析,婉靓分析的直播间,finance,0,https://www.panda.tv/588174
竞彩人生三十六计,wad12302的直播间,finance,0,https://www.panda.tv/839128
一个精准藏,神经播。。,finance,62,https://www.panda.tv/610608
萧山1797,重庆时时彩直播赚钱,finance,14,https://www.panda.tv/926927
牛遇熊,盈亏比 1：30 还要做饭,finance,12,https://www.panda.tv/1211322
阿力加,贵金属技术分析,finance,4,https://www.panda.tv/631687
快乐好运,谈股抓金,finance,3,https://www.panda.tv/609979
小相公丶11,电一..抠脚小盲仔,finance,3,https://www.panda.tv/929545
准备战斗6763,准备战斗6763的直播间,finance,3,https://www.panda.tv/1424741
蒙K066,蒙K066的直播间,finance,2,https://www.panda.tv/740709
