userName,roomName,category,fans,roomUrl
至疯哥哥,qq_msnt54fvdaoh的直播间,王者荣耀,10,http://www.huya.com/2091627045
月星,丨    月   星    ： 王者荣耀             丨,王者荣耀,5617,http://www.huya.com/2066512144
脉动,┊‹G› 脉  动 ‥ 陕西一区主玩步枪       ┊,英雄联盟,49,http://www.huya.com/1745804774
凌至信, 【至  信】  决斗之城,决斗之城,47,http://www.huya.com/282479727
小阳咩,虎牙直播,球球大作战,55,http://www.huya.com/1934707531
北辰,虎牙直播,王者荣耀,134,http://www.huya.com/1249226294
经典战争游戏波波,xiaobaimao007的1号直播间,其他直播,37,http://www.huya.com/465044045
起司先生,┋ 《待 编 辑》     『起司先生』 ┋,战舰世界,138,http://www.huya.com/wangsm
折翼的羽毛,.┠Ａ厅 Gg 鱼跃  天下３  招募游戏主播,天下3,5574,http://www.huya.com/1185799239
无心人,绝地求生大逃杀,绝地求生,22,http://www.huya.com/139256933
日天,,NBA2K OnLine,203392,http://www.huya.com/huyaritian
顺溜,1924849175yy的直播间,英雄联盟,11185,http://www.huya.com/dongwudi
紫丿夜丶,qq__dsw3d52s448的直播间,王者荣耀,29,http://www.huya.com/ziye500
咸鱼,实习厅 礼物周榜总数200元转正创建子频道,守望先锋,19,http://www.huya.com/1048247493
鹏sir,进来点订阅的朋友们-可以加主播微信一起讨论亚索的套路,英雄联盟,125,http://www.huya.com/1341806256
温小暖暖,暖暖的小密室,怪物猎人Online,241,http://www.huya.com/2852992
LOL大叔压缩,心累了,王者荣耀,41,http://www.huya.com/124749360
风枫,二次元聊天室,激战2,266,http://www.huya.com/19669425
苏小软,┇✦« 苏小软 »：    劈里啪啦                 ,永恒之塔,98,http://www.huya.com/1738784291
嘤嘤怪大军呢,┆★┆353991┆火鸟┆☞英雄联盟┆,英雄联盟,31,http://www.huya.com/2092168870
黑龙,║   「 黑  龙 」 游戏世界里满满的全是套路 　 ║,绝地求生,44,http://www.huya.com/1196933614
UYA-鬼大泣,鬼大泣的直播间,绝地求生,23,http://www.huya.com/31736523
疯火天堂,║5182 — 坦克世界 —疯火天堂— 疯火天堂║5345,坦克世界,55,http://www.huya.com/253080849
高大尚,┃< 高大尚 >       XX冠名              ┃ ,魔兽世界,70,http://www.huya.com/1964984274
SevenEleven,Seven Eleven丶的直播间,绝地求生,114,http://www.huya.com/1819192939
死亡菜鸟,┊「 X X 冠 名 」 菜  鸟：会死的菜鸟          ┊,过山车之星,239,http://www.huya.com/2082171221
HuyaTV东东,我淋过最大的雨，是你在烈日下的不回头,流放之路,165,http://www.huya.com/dongdongpoe
瓦瓦莉的猫ぃ,虎牙直播,其他手游,182,http://www.huya.com/1851181745
拽少,┊ « 皎月爸爸 »  皎月专场   ┊,绝地求生,99,http://www.huya.com/1845932629
睡眼惺忪的安染菇娘,│  朵朵::: 新货主播求订阅               ┆,绝地求生,626,http://www.huya.com/135936059
东郭小卡,虎牙直播,王者荣耀,1155,http://www.huya.com/1934971780
天涯明月刀,呆呆,天涯明月刀,102112,http://www.huya.com/waini184677
米粒儿,虎牙直播,酷玩,718,http://www.huya.com/2018453765
深山里的农民,┊  »  啊  呆： 招新秀游戏主播       早上 0点－0点┊,英雄联盟,256,http://www.huya.com/1882652419
正恒丶阿兴,┊ 「童男冠名」 阿  兴：年度只收大保健，战为正恒┊,球球大作战,18935,http://www.huya.com/113952741
老男人,丨ะ　G° 随  缘:  绝地求生 ◎新人求订阅   　　        ะ丨,坦克世界,32,http://www.huya.com/1790568124
我为亚索而生i,我姓彭我心疼的直播间,英雄联盟,688,http://www.huya.com/2024837162
虎丶牙小宽,〖小　宽〗：最恶劣的生存       ,逆战,6647,http://www.huya.com/xiaokdada
洛洛9527,丨‹G› «洛  洛»  招收各类主播联系VP丨,绝地求生,204,http://www.huya.com/1945620754
虎牙直播小学生,虎牙直播,王者荣耀,3,http://www.huya.com/2064270087
芭比兔,⊱ 芭比兔 ‥                                 ,逆战,21487,http://www.huya.com/babytu
痴人丶LYQ,┇« 痴  人 »   三枪已结束=-=                ┇,英雄联盟,564,http://www.huya.com/chiren666666
鬼影,┊[ 忧  伤 ] 绝地求生主播           ┊,绝地求生,112,http://www.huya.com/146082036
虎牙小麦,╟♥758166♥------♥小      麦♥---╢,英雄联盟,38,http://www.huya.com/884777016
瓶子,┊【联盟美女】瓶  子 ¨诱惑的世界 阿狸秀 ┊,英雄联盟,185,http://www.huya.com/1207771469
影子,┃C°【影 子】        变形金刚┃,变形金刚 Online,192,http://www.huya.com/295080657
东辰-佛祖,║　   ‹ 佛  祖 › ✦  王者荣耀           ║,王者荣耀,5532,http://www.huya.com/1996862345
郭火火,├ ❤ 郭 火 火‖ 13:00-17:00 ❤ ┤,绝地求生,3992,http://www.huya.com/1964595123
MC瞎播,┆「  搬 砖 」 招收各类主播加好友        ┆1,反恐行动online,125,http://www.huya.com/1835268375
